"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;;53;0;0;1;01/11/2022
;0-9;610;1;0;40;01/11/2022
Hovedstaden;0-9;117397;1;1;1517;01/11/2022
Midtjylland;0-9;78911;1;1;490;01/11/2022
Nordjylland;0-9;33866;0;1;261;01/11/2022
Sjælland;0-9;44176;0;0;532;01/11/2022
Syddanmark;0-9;72797;0;0;417;01/11/2022
;10-19;901;0;0;9;01/11/2022
Hovedstaden;10-19;163698;0;6;766;01/11/2022
Midtjylland;10-19;125022;0;0;237;01/11/2022
Nordjylland;10-19;54103;4;1;141;01/11/2022
Sjælland;10-19;74975;0;0;310;01/11/2022
Syddanmark;10-19;110543;0;0;245;01/11/2022
;20-29;3568;3;0;82;01/11/2022
Hovedstaden;20-29;194845;9;7;1989;01/11/2022
Midtjylland;20-29;119189;1;0;754;01/11/2022
Nordjylland;20-29;51041;1;1;352;01/11/2022
Sjælland;20-29;51585;1;3;723;01/11/2022
Syddanmark;20-29;88848;10;2;688;01/11/2022
;30-39;4108;2;0;116;01/11/2022
Hovedstaden;30-39;180856;9;11;2640;01/11/2022
Midtjylland;30-39;107768;3;3;914;01/11/2022
Nordjylland;30-39;45382;2;0;393;01/11/2022
Sjælland;30-39;59990;5;6;877;01/11/2022
Syddanmark;30-39;91019;4;2;790;01/11/2022
;40-49;3534;6;1;115;01/11/2022
Hovedstaden;40-49;166477;25;12;2354;01/11/2022
Midtjylland;40-49;106986;13;0;867;01/11/2022
Nordjylland;40-49;45804;6;2;384;01/11/2022
Sjælland;40-49;68306;19;6;911;01/11/2022
Syddanmark;40-49;94737;15;7;759;01/11/2022
;50-59;2451;5;0;135;01/11/2022
Hovedstaden;50-59;135174;87;12;2948;01/11/2022
Midtjylland;50-59;95462;30;7;1250;01/11/2022
Nordjylland;50-59;44205;19;4;548;01/11/2022
Sjælland;50-59;66517;42;17;1282;01/11/2022
Syddanmark;50-59;90729;40;11;1133;01/11/2022
;60-69;1010;7;0;99;01/11/2022
Hovedstaden;60-69;78451;258;23;3198;01/11/2022
Midtjylland;60-69;65550;85;9;1423;01/11/2022
Nordjylland;60-69;32474;77;13;806;01/11/2022
Sjælland;60-69;42891;117;16;1554;01/11/2022
Syddanmark;60-69;62277;124;23;1509;01/11/2022
;70-79;357;6;0;63;01/11/2022
Hovedstaden;70-79;48977;751;36;5006;01/11/2022
Midtjylland;70-79;40669;282;10;2078;01/11/2022
Nordjylland;70-79;21633;194;20;1286;01/11/2022
Sjælland;70-79;28430;341;21;2506;01/11/2022
Syddanmark;70-79;40369;317;26;2316;01/11/2022
;80-89;119;11;0;41;01/11/2022
Hovedstaden;80-89;18390;1058;46;4245;01/11/2022
Midtjylland;80-89;13217;451;10;1734;01/11/2022
Nordjylland;80-89;7688;269;11;1122;01/11/2022
Sjælland;80-89;9397;436;24;1956;01/11/2022
Syddanmark;80-89;14230;544;29;2121;01/11/2022
;90+;37;4;0;3;01/11/2022
Hovedstaden;90+;4730;660;7;1309;01/11/2022
Midtjylland;90+;2755;266;4;465;01/11/2022
Nordjylland;90+;1544;188;2;260;01/11/2022
Sjælland;90+;1836;238;7;541;01/11/2022
Syddanmark;90+;2852;306;4;567;01/11/2022
